id,timestamp,target_name,predictions,0.1,0.5,0.9,Real_GDP_2025,Error(Real* - predicted*)
Pakistan,1/1/2025,GDP (current US$),3.83804E+11,3.44929E+11,3.83804E+11,4.15807E+11,"410,500,000,000","26,696,020,000"
Pakistan,1/1/2026,GDP (current US$),3.86771E+11,3.39367E+11,3.86771E+11,4.27466E+11,,
Pakistan,1/1/2027,GDP (current US$),3.91993E+11,3.3487E+11,3.91993E+11,4.4472E+11,,
Pakistan,1/1/2028,GDP (current US$),3.98682E+11,3.31261E+11,3.98682E+11,4.62694E+11,,
Pakistan,1/1/2029,GDP (current US$),4.05949E+11,3.34071E+11,4.05949E+11,4.79092E+11,,
Afghanistan,1/1/2025,GDP (current US$),1.45E+10,9162838016,1.45E+10,1.99E+10,,
Afghanistan,1/1/2026,GDP (current US$),1.41E+10,7290286592,1.41E+10,2.10E+10,,
Afghanistan,1/1/2027,GDP (current US$),1.36E+10,5650894336,1.36E+10,2.20E+10,,
Afghanistan,1/1/2028,GDP (current US$),1.30E+10,4262306816,1.30E+10,2.28E+10,,
Afghanistan,1/1/2029,GDP (current US$),1.28E+10,3229479936,1.28E+10,2.35E+10,,
India,1/1/2025,GDP (current US$),4.29E+12,3.94E+12,4.29E+12,4.58E+12,"4,190,000,000,000",-9.94E+10
India,1/1/2026,GDP (current US$),4.47E+12,4.06E+12,4.47E+12,4.78E+12,,
India,1/1/2027,GDP (current US$),4.61E+12,4.10E+12,4.61E+12,5.08E+12,,
India,1/1/2028,GDP (current US$),4.80E+12,4.18E+12,4.80E+12,5.36E+12,,
India,1/1/2029,GDP (current US$),5.00E+12,4.23E+12,5.00E+12,5.80E+12,,
Bangladesh,1/1/2025,GDP (current US$),4.97E+11,4.54E+11,4.97E+11,5.62E+11,"475,010,000,000",-2.16E+10
Bangladesh,1/1/2026,GDP (current US$),4.92E+11,4.29E+11,4.92E+11,5.64E+11,,
Bangladesh,1/1/2027,GDP (current US$),4.87E+11,4.16E+11,4.87E+11,5.68E+11,,
Bangladesh,1/1/2028,GDP (current US$),4.74E+11,3.90E+11,4.74E+11,5.68E+11,,
Bangladesh,1/1/2029,GDP (current US$),4.59E+11,3.61E+11,4.59E+11,5.67E+11,,
China,1/1/2025,GDP (current US$),2.08E+13,1.95E+13,2.08E+13,2.26E+13,"19,230,000,000,000",-1.54E+12
China,1/1/2026,GDP (current US$),2.07E+13,1.88E+13,2.07E+13,2.26E+13,,
China,1/1/2027,GDP (current US$),2.06E+13,1.82E+13,2.06E+13,2.27E+13,,
China,1/1/2028,GDP (current US$),2.01E+13,1.73E+13,2.01E+13,2.31E+13,,
China,1/1/2029,GDP (current US$),1.98E+13,1.64E+13,1.98E+13,2.32E+13,,
